作曲者,曲名,分数,提出者からのコメント,フルート,オーボエ,クラリネット,ファゴット,ホルン,トランペット,トロンボーン,チューバ,打楽器,ハープ,弦,その他,備考
エルガー,交響曲第2番,52,第1番より演奏機会が少なそうな第2番をやってみたいです！2番は時の英国王に献呈されたロイヤルで耳馴染みのよい曲な気がします。エルガープログラム、またはアメリカとイギリス、または国を限定せず20世紀の作曲家/音楽としてのプログラムも組めるかと思いました。,3(1),2/1,2/1/1,2/1,4,3,3,1,"Timp, B.D, S.D, Tambourine, Cym,",2,弦五部,,
オネゲル,交響曲第3番「典礼風」,33,,3(1),2/1,2/1,2/1,4,3,3,1,"Timp, B.D, Cym, Tamtam",-,弦五部,Piano,
カリンニコフ,交響曲第1番,37,そういえば虹オケでやってない,2/1,2/1,2,2,4,2,3,1,"Timp, Trg,",1,弦五部,,
グリエール,交響曲第3番『イリヤ・ムーロメツ』,72,ハープ2台を2年連続で呼べた虹オケが次にやるべき曲（大袈裟）曲が長めなので、2曲プログラムでもいいかも。,3(1)/1,3/1,3/1,3/1,8,4,4,1,"Timp, B.D, S.D, Trg, Cym, Tamtam, Glock",2,弦五部,Cel.,
シベリウス,交響曲第5番,35,かっこいい。前中でバレエ組曲とか長めの曲になった時のメインとして,2,2,2,2,4,3,3,-,Timpani,-,弦五部,,
シューベルト,交響曲第8(9)番「グレート」,48,弦楽器も管楽器もティンパニもそれぞれ美味しい曲です！Tuttiのハーモニーも素晴らしく良く、また第一楽章冒頭のホルンと木管ソロ、第二楽章のオーボエソロが大好きです。あと、全体を通して弦楽器の音の響きが非常に素晴らしい曲です。やりたいです！！！！！！,2,2,2,2,2,2,3,-,Timpani,-,弦五部,,
シューマン,交響曲第2番,37,ハ長調は正義です。グレート、ブル8などとみんなで一緒にハ長調で限界突破しましょう,2,2,2,2,2,2,3,-,Timpani,-,弦五部,,
シュトラウス（リヒャルト）,交響詩『英雄の生涯』,50,,3/1,4(1),2/1/1,3/1,8,5(Es2),3,1,"Timp, B.D, S.D, Cym, T.D, Tamtam, Trg, ",2,"弦五部, Vn.Solo",T.Tuba(Euphonium),
ショスタコーヴィチ,交響曲第4番,60,フレッシュな曲は若いうちに演奏したいですよね,4/2,4(1),4/1/1,3/1,8,4,3,2,"Timp.2, B.D, S.D, Trg, WoodBlock, Cast. Tamtam, Xylo, Glock",2,弦五部,Cel.,
ショスタコーヴィチ,交響曲第12番,37,出てないみたいなので笑,3(1),3,3,3(1),4,3,3,1,"Timp, B.D, S.D, Trg, Cym, Tamtam",-,弦五部,,
ステーンハンマル,交響曲第2番,46,,2,2,2,2,4,2,3,-,"Timpani,",-,弦五部,,
ストラヴィンスキー,バレエ組曲『ペトルーシュカ』1947年版,34,,3(1),2/1,3(1),2/1,4,3,3,1,"Timp, B.D, S.D, Trg, Cym, Tambourine, Tamtam, Xylo,",1,弦五部,"Piano, Cel.",
ストラヴィンスキー,バレエ組曲『火の鳥』1919年版,22,フランスもの4曲プロのメインとして。ロマ謝、コッペリア、牝鹿と4プロにしたい,2(1),2(1),2,2,4,2,3,1,"Timp, B.D, Trg, Cym, Tambourine, Xylo,",1,弦五部,Piano,
ストラヴィンスキー,交響曲ハ調,30,ガーシュイン、バーンスタイン＋アメリカで書かれた曲でアメリカプログラムができそうだなと思いました。いずれの曲もどのセクションもやりがいある内容だと思います。様々な文化を受け入れ発展してきた古き良きアメリカが感じられるプログラムになるかもしれません。,3(1),2,2,2,4,2,3,1,"Timp,",-,弦五部,,Va. Soloが3人
チャイコフスキー,交響曲第3番「ポーランド」,48,"たのしそう
ポーランドずっとやってみたいんですよね",2/1,2,2,2,4,2,3,1,"Timp,",-,弦五部,,
ツェムリンスキー,交響詩『人魚姫』,40,いつかはやりたい曲。コンマスが女性になったのもあり、人魚姫ミストレスもおしゃれで良さそう。 海プログラム！,4(2),2/1,2/1/1,3,6,3,4,1,"Timp, Trg, Cym, Glock, Bell",2,弦五部,,
ドヴォルザーク,交響曲第7番,38,,2/1,2,2,2,4,2,3,-,"Timp,",-,弦五部,,
