作曲者, ,曲名,分数,フルート,オーボエ,クラリネット,ファゴット,ホルン,トランペット,トロンボーン,チューバ,打楽器,その他,提出者からのコメント
アッテルベリ,1,交響曲第2番,30,3(1),2/1,2/1,2,4,3,3,1,Timp. Cym. ②,Pf.,本番の時期に曲の雰囲気が合ってるベリ！！！
アッテルベリ,2,交響曲第6番「ドル」,30,3(1),2,2,2,4,3,3,1,Timp. Trg. B.D. S.D Cym. W.B. Glock. ⑤,Hp.,本番の時期に曲の雰囲気が合ってるベリ！！！
アルヴェーン,3,交響曲第2番,50,3(1),2(1),2/1,2/1,4,2,3,1,Timp. B.D. Cym. ③,,
エルガー,4,交響曲第1番,50,3(1),2/1,2/1 ,2/1,4,3,3,1,Timp. S.D. B.D./Cym. ③,Hp:2,
カリンニコフ,5,交響曲第2番,38,2/1,2(1),2,2,4,2,3,1,Timp. ①,Hp.,
ゲーゼ,6,交響曲第1番,34,2/1,2,2,2/1,4,2,3,1,Timp. ①,,
シベリウス,7,交響曲第1番,37,2(2),2,2,2,4,3,3,1,Timp. Cym. Trg/B.D.③,Hp.,
シベリウス,8,交響曲第5番,33,2,2,2,2,4,3,3,0,Timp. ①,,
シベリウス,9,交響曲第6番,28,2,2,2/1,2,4,3,3,0,Timp. ①,Hp.,
シベリウス,10,交響曲第7番,22,2(2),2,2,2,4,3,3,0,Timp. ①,,
シマノフスキ,11,交響曲第2番,30,3(1),3(1),3(1),3(1),4,3,3,1,Timp. Cym. Trg. B.D.,Hp.,
シューベルト,12,交響曲第4番「悲劇的」,31,2,2,2,2,4,2,0,0,Timp. ①,,
シューベルト,13,交響曲第5番,28,2,2,0,2,2,0,0,0,なし⓪,,
シューベルト,14,交響曲第6番,30,2,2,2,2,2,2,0,0,Timp. ①,,
シューベルト,15,交響曲第9(8)番「ザ・グレート」,55,2,2,2,2,2,2,3,0,Timp. ①,,
シューマン,16,交響曲第1番「春」,35,2,2,2,2,4,2,3,0,Timp. Trg. ②,,
シューマン,17,交響曲第3番「ライン」,35,2,2,2,2,4,2,3,0,Timp. ①,,
Fr.シュミット,18,交響曲第1番,45,2/1,2(1),2,3(1),4,3,3,1,Timp. ①,,
Fr.シュミット,19,交響曲第2番,50,3/1,2/1,3/1/1,2/1,8,4,3,1,Timp. B.D. S.D. Cym. Trg. Tamb. 銅鑼,,
Fr.シュミット,20,交響曲第3番,42,2,2,2,2,4,2,3,0,Timp. ①,,
