作曲者,曲名,分数,提出者からのコメント,フルート,オーボエ,クラリネット,ファゴット,ホルン,トランペット,トロンボーン,チューバ,打楽器,ハープ,弦,その他,備考
ウェーバー,『魔弾の射手』序曲,9,魔弾撃つところでバルトークピッチカートしたい,2,2,2,2,4,2,3,-,Timpani,-,弦五部,,
ヴェルディ,『ナブッコ』序曲,8,盛り上がりそう,2(1),2,2,2,4,2,3,1,"Timpani, S.D,",-,弦五部,,TubaはCimbassoの代用
エルガー,3つのバイエルン舞曲,11,「南国にて」でエルガーがとても似合うオーケストラだと思うのでぜひ他の曲も挑戦したいです！エルガープログラム、またはアメリカとイギリス、または国を限定せず20世紀の作曲家/音楽としてのプログラムも組めるかと思いました。,2/1,2,2,2,4,2,3,1,"Timp, B.D, S.D, Trg, Cym, Glock,",-,弦五部,,
エルガー,エニグマ変奏曲,31,「南国にて」でエルガーがとても似合うオーケストラだと思うのでぜひ他の曲も挑戦したいです！エルガープログラム、またはアメリカとイギリス、または国を限定せず20世紀の作曲家/音楽としてのプログラムも組めるかと思いました。,2(1),2,2,2/1,4,3,3,1,"Timp, Trg, B.D, S.D, Cym.",-,弦五部,Org.(ad lib.),
オネゲル,交響曲第3番「典礼風」,33,,3(1),2/1,2/1,2/1,4,3,3,1,"Timp, B.D, Cym, Tamtam",-,弦五部,Piano,
ガーシュウィン,キューバ序曲,10,2027年はガーシュイン没後90年です。民族音楽ルンバとクラシックを融合した隠れた名曲と言われています。虹オケらしい選曲で、マンフレッドのように有名作曲家のレア曲は集客も期待できるかと思いました！全パート大活躍で華やかなオープニングに！一曲目から絶対にお客さんを寝かせません！,3(1),2/1,2/1,2/1,4,3,3,1,"Timp, S.D, B.D, Cym, WoodBlock, Xylo, Bells, CubanSticks, Gourd, MAracas, Bongos",-,弦五部,,
ガーシュウィン,パリのアメリカ人,18,ラプソディー・イン・ブルーに組み合わせて,3(1),2/1,2/1,2,4,3,3,1,"Timp, Cym, Trg, B.D, S.D, Xylo, Glock, WoodBlock, Tomtom, Taxihorn",-,弦五部,"Sax3, Cel.",
ガーシュウィン,ラプソディ・イン・ブルー,17,,2,2,2/1,2,3,3,3,1,"Timp, Cym, Trg, B.D, S.D, Tamtam",-,弦五部,"A.Sax2, T.Sax, バンジョー, Piano(Solo)",パート譜の入手方法要検討
グラズノフ,ピアノ協奏曲第2番,21,とってもうつくしい,2/1,2,2,2,4,2,3,1,"Timp, Trg, Cym,",-,弦五部,Piano(Solo),
グリンカ,歌劇『ルスランとリュドミラ』より序曲,5,早回し系の曲かつ短時間でサクッと終わるので、アンコールに良いかなと思います,2,2,2,2/1,4,2,3,-,"Timp,",-,弦五部,,
コダーイ,ガランタ舞曲,15,,2(1),2,2,2,4,2,-,-,"Timp, S.D, Trg, Glock,",-,弦五部,,
シベリウス,レンミンカイネン組曲,46,,2(2),2(1),2(1),2,4,3,3,1,"Timp, Cym, Trg, B.D, S.D, 鐘",1,弦五部,,
シベリウス,交響曲第5番,35,かっこいい。前中でバレエ組曲とか長めの曲になった時のメインとして,2,2,2,2,4,3,3,-,Timpani,-,弦五部,,
シベリウス,交響曲第7番,22,ハ長調は正義です,2,2,2,2,4,3,3,-,Timpani,-,弦五部,,
シベリウス,交響詩『フィンランディア』,8,金管とかこういうの好きそう（適当）,2,2,2,2,4,3,3,1,"Timp, Trg, Cym, B.D,",-,弦五部,,
シューマン,交響曲第2番,37,ハ長調は正義です。グレート、ブル8などとみんなで一緒にハ長調で限界突破しましょう,2,2,2,2,2,2,3,-,Timpani,-,弦五部,,
シュトラウス（ヨハン・2世）,歌劇『こうもり』序曲,8,マジで登場人物が酒しか飲んでない飲酒オペラの序曲。虹オケ向き。テーマ的にはウィーン・酒・ダメ人間あたりが組み合わさると面白いと思います,2(1),2,2,2,4,2,3,-,"Timp, B.D, S.D, DeepBell(E), Tri, Tambourine",-,弦五部,,
シュトラウス（リヒャルト）,組曲『薔薇の騎士』,23,,3(1),3(1),3/1/1,3(1),4,3,3,1,"Timp, B.D, S.D, Trg, Tambourine, Cym, Rattle, Glock",2,弦五部,Cel.,
ショスタコーヴィチ,交響曲第9番,24,,2/1,2,2,2,4,2,3,1,"Timp, Cym, Trg, B.D, S.D, Tambourine",-,弦五部,,
スクリャービン,ピアノ協奏曲 Op.20,27,,2/1,2,2,2,4,2,3,-,"Timpani,",-,弦五部,Piano(Solo),
ストラヴィンスキー,バレエ組曲『火の鳥』1919年版,22,フランスもの4曲プロのメインとして。ロマ謝、コッペリア、牝鹿と4プロにしたい,2(1),2(1),2,2,4,2,3,1,"Timp, B.D, Trg, Cym, Tambourine, Xylo,",1,弦五部,Piano,
ストラヴィンスキー,交響曲ハ調,30,ガーシュイン、バーンスタイン＋アメリカで書かれた曲でアメリカプログラムができそうだなと思いました。いずれの曲もどのセクションもやりがいある内容だと思います。様々な文化を受け入れ発展してきた古き良きアメリカが感じられるプログラムになるかもしれません。,3(1),2,2,2,4,2,3,1,"Timp,",-,弦五部,,Va. Soloが3人
チャイコフスキー,バレエ組曲『くるみ割り人形』,23,2年連続バレエ音楽はきついと思うのですが、人生で一度は吹いてみたいです！！抜粋じゃなくて全曲やりたい、どれもめちゃくちゃ好きですが、やっぱり金平糖の精の踊りとアラビアの踊りが好きです。とてもやりたい。,2/1,2/1,2/1,2,4,2,3,1,"Timp, Trg, Cym, Glock, Tambourine",1,弦五部,Cel.,「全曲やりたい」となると話は変わってきます
チャイコフスキー,交響的バラード『地方長官』,12,テンション高くてぶち上がる曲です！虹オケの得意分野だと思います！笑,3,2/1,2/1,2,4,2,3,1,"Timp, S.D, ",1,弦五部,Cel.,
チャイコフスキー,序曲『1812年』,17,,2/1,2/1,2,2,4,2/2,3,1,"Timp, Trg, S.D, Cym, Tambourine, B.D, Bells, Cannon",-,弦五部,,
