作曲者,No.,曲名,Op.,フルート,オーボエ,クラリネット,ファゴット,ホルン,トランペット,トロンボーン,チューバ,打楽器,その他,分数,提出者からのコメント
アーノルド,1,第六の幸福をもたらす宿,,3(1),2,3(1),2,4,3,3,1,Timp. B.D.(w.Cym.)/木琴 S.D./銅鑼 T.D./鉄琴/Vib. ベル④,Pf./Cel.,14,
アルチュニアン,2,トランペット協奏曲,,2(1),2,2,2,4,2,3,1,Timp. B.D. Cym. Trg. Tamb.⑤,Tp.独奏 Hp.,16,
アレンスキー,3,ヴァイオリン協奏曲,,2,2,2,2,4,2,0,0,Timp.①,Vn.独奏,25,
ヴィエニャフスキ,4,ヴァイオリン協奏曲第2番,,2,2,2,2,2,2,3,0,Timp.①,Vn.独奏,22,
V.ウィリアムズ,5,グリーンスリーブス幻想曲,,2,0,0,0,0,0,0,0,0,Hp.(or Pf.),5,
V.ウィリアムズ,6,チューバ協奏曲,,2(1),1,2,1,2,2,2,0,Timp. Trg./B.D. S.D./Cym.③,Tub.独奏,17,
ウェーバー,7,歌劇「魔弾の射手」序曲,77,2,2,2,2,4,2,3,0,Timp.①,,8,
ウェーベルン,8,管弦楽のためのパッサカリア,1,2/1,2/1,2/1,2/1,4,3,3,1,Timp. Trg./Cym. B.D./銅鑼③,Hp,15,
ウェーベルン,9,管弦楽のための6つの小品,6,2(1),2,2/1,2(1),4,4,4,1,Timp. Cym. B.D. S.D./Trg. 銅鑼 鉄琴/鐘⑥,Hp. Cel.,13,
ヴェルディ,10,歌劇「ナブッコ」序曲,,2(1),2,2,2/1,4,2,3,1,Timp. B.D. S.D.③,,7,
ヴェルディ,11,歌劇「運命の力」序曲,,1/1,2,2,2/1,4,2,3,1,Timp. Cym./B.D.②,Hp:2,7,
エルガー,12,チェロ協奏曲,85,2(1),2,2,2,4,2,3,1,Timp.①,Vc.独奏,29,
エロール,13,歌劇「ザンパ」序曲,,1/1,2,2,2,4,2,3,1,Timp. Trg. B.D. Cym.④,,8,
オッフェンバック,14,歌劇「美しきエレーヌ」序曲,,1/1,2,2,2,4,2,3,0,Timp. B.D. Cym. ③,,7,
オッフェンバック,15,歌劇「天国と地獄」序曲,,2,2,2,2,4,2,3,1,Timp. B.D. Cym. S.D. Trg.⑤,Hp.,10,
オネゲル,16,交響詩「夏の牧歌」,,1,1,1,1,1,0,0,0,0,,8,
ガーシュウィン,17,ラプソディー・イン・ブルー,,2,2,2/1,2,4,3,3,1,Timp. S.D. Cym. Trg. 銅鑼 ベル④,Pf.独奏 ,16,
グノー,18,小交響曲,,1,2,2,2,2,0,0,0,0,(弦楽器なし),17,
グノー,19,歌劇「ファウスト」よりバレエ音楽,,2(1),2,2(1),2,4,2/2,3,0,Timp. Cym. Trg. B.D.④,Hp:4,22,
グラズノフ,20,祝典序曲,73,2/1,2,2,2,4,2,3,1,Timp. B.D. Cym. Trg.④,,10,
グリーグ,21,ペールギュントより第1組曲,46,2/1,2,2,2,4,2,3,1,Timp. B.D. Cym./Trg.③,,14,
グリーグ,22,ペールギュントより第2組曲,55,2/1,2,2,2,4,2,3,1,Timp./S.D. B.D. Cym. Tamb. Trg.⑤,Hp.,19,
グリーグ,23,ノルウェー舞曲,35,2/1,2,2,2,4,2,3,1,Timp. Trg.②,Hp.,16,
グリーグ,24,ピアノ協奏曲,16,2,2,2,2,4,2,3,0,Timp.①,Pf独奏,30,
グリエール,25,ホルン協奏曲,91,3,2,2,2,3,2,3,1,Timp. Cym. Trg. B.D. S.D.⑤,Hr.独奏 Hp.,26,
グリンカ,26,歌劇「ルスランとリュドミラ」序曲,,2,2,2,2/1,4,2,3,0,Timp.①,,5,
グリンカ,27,幻想的ワルツ,,2,2,2,2,2,2,1,0,Timp. Trg.②,,8,
(ブライアン・)クレイン,28,交響曲第1番,,2,1,1,1,3,2,1,0,Timp.①,Pf.,22,
ゲーゼ,29,序曲「オシアンの余韻」,1,2(1),2,2,2/1,4,2,2,1,Timp.①,Hp. ,13,
コープランド,30,エル・サロン・メヒコ,,2/1,2/1,2/1/1,2/1,4,3,3,1,Timp. Cym. W.B./Tamb. ブラシ/ゴード B.D./木琴/T.ブロック/プロバンス太鼓⑤,Pf.,10,
